ID,Job_Title,Email_Address,First_Name,Salary,Last_Name,Sick_Days,Street_Address,Country,Phone_Number,City,Date_Time,Salary_Increased
13426,Steward,No_Email_Address,No_First_Name,59742.69,Strong,4.0,"Bede  Grove, 6531",Netherlands,0440000001,Glendale,6/8/2017 22:10,65716.959
12771,Investment  Advisor,No_Email_Address,No_First_Name,59742.69,Gardner,4.0,"Dunstable   Tunnel, 1689",Ecuador,0440000001,San Diego,9/5/2004 10:45,65716.959
16200,CNC Operator,No_Email_Address,No_First_Name,59742.69,Rose,4.0,"Spruce Tunnel, 6190","Congo, Republic of the",0440000001,Minneapolis,6/7/2001 8:44,65716.959
14641,Systems Administrator,No_Email_Address,No_First_Name,59742.69,Weldon,4.0,"King Street, 9263",Congo,0440000001,Columbus,4/19/2010 17:01,65716.959
16384,Clerk,No_Email_Address,No_First_Name,59742.69,Morgan,4.0,"Linden Way, 1666",Saint Lucia,0440000001,Boston,7/18/2001 12:08,65716.959
15605,Project Manager,No_Email_Address,No_First_Name,59742.69,Turner,4.0,"Thomas More   Crossroad, 8610",Czech Republic,0440000001,Jersey City,4/23/2016 12:50,65716.959
18441,Steward,No_Email_Address,No_First_Name,59742.69,Funnell,4.0,"Dunstable   Street, 6713","Sudan, South",0440000001,Richmond,5/17/2022 6:44,65716.959
15914,Budget Analyst,No_Email_Address,No_First_Name,59742.69,Moore,4.0,"Union  Street, 5635",Cabo Verde,0440000001,Murfreesboro,11/10/2008 5:16,65716.959
11694,Ambulatory Nurse,No_Email_Address,No_First_Name,59742.69,Reyes,4.0,"Cliff  Road, 7211",Malawi,0440000001,London,11/26/2007 17:32,65716.959
14665,Retail Trainee,No_Email_Address,No_First_Name,59742.69,Simpson,4.0,"Dyott   Pass, 5693",Tuvalu,0440000001,Henderson,9/29/2006 4:25,65716.959
12943,Loan Officer,No_Email_Address,No_First_Name,59742.69,Parker,4.0,"Beechen  Crossroad, 3775",USA,0440000001,Minneapolis,11/8/2011 7:15,65716.959
10393,Systems Administrator,No_Email_Address,No_First_Name,59742.69,Richards,4.0,"Cam  Walk, 2545",Kazakhstan,0440000001,Honolulu,12/13/2002 22:57,65716.959
17063,Systems Administrator,No_Email_Address,No_First_Name,59742.69,Dale,4.0,"Kimberley  Vale, 4566",France,0440000001,Otawa,3/14/2010 3:38,65716.959
11797,Operator,No_Email_Address,No_First_Name,59742.69,Owen,4.0,"Becher  Lane, 2814",Rwanda,0440000001,Atlanta,6/19/2012 13:43,65716.959
11769,Executive Director,No_Email_Address,No_First_Name,59742.69,Kaur,4.0,"Clarks  Drive, 7562","Sudan, South",0440000001,Seattle,7/28/2015 4:34,65716.959
